"region","name","initial","min","max","integer","include"
"london","beta4",0.0368739090985338,0,1,FALSE,TRUE
"london","beta5",0.041913781440576,0,1,FALSE,TRUE
"london","beta6",0.033308428432114,0,1,FALSE,TRUE
"london","beta7",0.0455825972592036,0,1,FALSE,TRUE
"london","beta8",0.0660343360046618,0,1,FALSE,TRUE
"london","beta9",0.0554756006011324,0,1,FALSE,TRUE
"london","eps",0.405603100898594,0,1,FALSE,TRUE
"london","m_CHR",8.98706584118271e-06,0,1,FALSE,TRUE
"london","m_CHW",6.31557570342034e-06,0,1,FALSE,TRUE
"london","mu_D",0.230302405216264,0,1,FALSE,TRUE
"london","mu_D_2",0.724174743368477,0,1,FALSE,TRUE
"london","mu_gamma_H",0.863638602939353,0,2,FALSE,TRUE
"london","mu_gamma_H_2",0.865535808981813,0,2,FALSE,TRUE
"london","mu_gamma_H_3",1.12093454759397,0,2,FALSE,TRUE
"london","mu_gamma_H_4",0.654269879760925,0,2,FALSE,TRUE
"london","p_G_D",0.0296440634609067,0,1,FALSE,TRUE
"london","p_G_D_CHR",0.739644992900076,0,1,FALSE,TRUE
"london","p_H",0.376063229909336,0,1,FALSE,TRUE
"london","p_H_2",0.591573249893666,0,1,FALSE,TRUE
"london","p_H_3",0.977760789384061,0,1,FALSE,TRUE
"london","p_H_D",0.378214310748625,0,1,FALSE,TRUE
"london","p_ICU",0.274353213474733,0,1,FALSE,TRUE
"london","p_ICU_2",0.210020611015955,0,1,FALSE,TRUE
"london","p_ICU_D",0.549325229664208,0,1,FALSE,TRUE
"london","p_NC",0.00506845375541401,0,1,FALSE,TRUE
"london","p_NC_weekend",0.00381486616412882,0,1,FALSE,TRUE
"london","p_W_D",0.263553652615385,0,1,FALSE,TRUE
"london","rel_p_D_delta",1.23028602152155,0,3,FALSE,TRUE
"london","rel_p_H_delta",0.772385555253735,0,3,FALSE,TRUE
"london","rel_p_ICU_delta",1.2578938950742,0,3,FALSE,TRUE
"london","rho_pillar2_tests",0.00370042297124413,0,1,FALSE,TRUE
"london","seed_date_delta",435.566990908425,433,517,FALSE,TRUE
"london","start_date",32.1557806422415,1,75,FALSE,TRUE
"london","ta_delta",1.27601879869737,0,3,FALSE,TRUE
"midlands","alpha_D",0.149724132779907,0,1,FALSE,TRUE
"midlands","alpha_death_hosp",0.0172615824016389,0,1,FALSE,TRUE
"midlands","alpha_H",0.0190276897524657,0,1,FALSE,TRUE
"midlands","beta1",0.0732764748316517,0,1,FALSE,TRUE
"midlands","beta10",0.0511443181299326,0,1,FALSE,TRUE
"midlands","beta11",0.0435048555189074,0,1,FALSE,TRUE
"midlands","beta12",0.0368765098047402,0,1,FALSE,TRUE
"midlands","beta13",0.0410043869079637,0,1,FALSE,TRUE
"midlands","beta14",0.0486325964826845,0,1,FALSE,TRUE
"midlands","beta15",0.0747165819964906,0,1,FALSE,TRUE
"midlands","beta16",0.0390851242284325,0,1,FALSE,TRUE
"midlands","beta17",0.0458823407664957,0,1,FALSE,TRUE
"midlands","beta18",0.0576766989117663,0,1,FALSE,TRUE
"midlands","beta19",0.0608004173985083,0,1,FALSE,TRUE
"midlands","beta2",0.0622425119776781,0,1,FALSE,TRUE
"midlands","beta20",0.0550284977287218,0,1,FALSE,TRUE
"midlands","beta21",0.0555972221785851,0,1,FALSE,TRUE
"midlands","beta22",0.0733217194319543,0,1,FALSE,TRUE
"midlands","beta23",0.0600178997973538,0,1,FALSE,TRUE
"midlands","beta24",0.0470306882514162,0,1,FALSE,TRUE
"midlands","beta25",0.0691572775591471,0,1,FALSE,TRUE
"midlands","beta26",0.0521898330694506,0,1,FALSE,TRUE
"midlands","beta27",0.120642899863322,0,1,FALSE,TRUE
